rou,fir,sec,thi,for,fif,six,bon
549,17,22,26,27,36,39,20
550,1,3,27,28,32,45,11
551,12,15,19,22,28,34,5
552,1,10,16,24,25,35,43
553,3,4,23,29,40,41,20
554,3,5,10,17,30,31,16
555,8,23,25,27,35,44,24
556,18,29,30,37,39,43,8
557,14,25,29,32,33,45,37
558,9,12,13,15,37,38,27
559,1,9,14,16,21,29,3
560,4,13,18,31,33,45,43
561,8,13,20,22,23,36,34
562,16,25,26,31,36,43,44
563,6,13,29,37,39,41,43
564,10,16,20,39,41,42,27
565,4,21,22,34,37,38,33
566,8,13,15,28,37,43,17
567,2,12,14,17,24,40,39
568,4,10,13,23,32,44,20
569,1,8,11,13,22,38,31
570,6,12,15,34,42,44,4
571,23,29,31,33,34,44,40
572,3,20,24,32,37,45,4
573,11,18,26,31,37,40,43
574,8,11,28,30,43,45,41
575,4,6,10,14,25,40,12
576,4,9,10,32,36,40,18
577,8,10,18,23,27,40,33
578,1,7,12,18,23,27,44
579,4,19,20,26,30,35,24
580,13,25,27,34,38,41,10
581,12,24,33,38,40,42,30
582,8,10,18,30,32,34,27
583,12,15,20,24,30,38,29
584,6,14,19,21,23,31,13
585,3,10,20,26,35,43,36
586,3,7,13,27,40,41,36
587,2,7,8,9,17,33,34
588,1,11,12,14,26,35,6
589,13,20,21,30,39,45,32
590,11,13,23,35,43,45,17
591,4,6,10,19,20,44,14
592,25,27,29,36,38,40,41
593,1,23,28,30,34,35,9
594,10,22,28,34,36,44,2
595,17,20,30,31,37,40,25
596,6,12,20,26,29,38,45
597,11,16,29,38,41,44,21
598,9,14,20,22,33,34,28
599,8,16,26,30,38,45,42
600,3,13,20,24,33,37,35
601,19,23,29,33,35,43,27
602,2,3,5,11,27,39,33
603,18,22,25,31,38,45,6
604,1,3,16,18,30,34,44
605,3,23,28,34,39,42,16
606,12,16,19,22,37,40,8
607,6,7,15,24,28,30,21
608,4,17,18,27,39,43,19
609,8,10,14,27,33,38,3
610,10,11,26,31,34,44,30
611,1,17,27,28,29,40,5
612,8,15,19,21,34,44,12
613,6,11,26,27,28,44,30
614,4,9,10,29,31,34,27
615,2,11,13,14,28,30,7
616,11,13,15,26,28,34,31
617,4,5,14,20,22,43,44
618,5,6,8,11,22,26,44
619,7,17,20,26,30,40,24
620,2,14,15,22,23,44,43
621,2,9,15,23,34,40,3
622,4,7,39,41,42,45,40
623,11,14,22,35,37,39,5
624,1,3,18,32,40,41,16
625,6,9,21,31,32,40,38
626,9,20,21,22,30,37,16
627,6,7,13,16,24,25,1
628,7,12,21,24,27,36,45
629,1,2,10,25,26,44,4
630,5,20,21,24,33,40,36
631,10,14,22,24,28,37,26
632,5,9,15,19,22,36,32
633,6,12,18,31,38,43,9
634,9,21,27,34,41,43,2
635,1,2,9,17,19,42,20
636,10,15,20,23,42,44,7
637,12,13,17,22,25,33,8
638,18,20,31,34,40,45,30
639,11,15,20,26,31,35,7
640,1,13,20,22,25,28,15
641,9,16,28,40,41,43,21
642,1,3,7,8,24,42,43
643,10,11,18,22,28,39,30
644,16,17,28,37,39,40,15
645,7,16,18,20,23,26,3
646,1,8,9,17,29,32,45
647,1,26,31,34,40,43,20
648,4,7,10,19,31,40,26
649,7,12,19,21,29,32,9
650,11,22,24,32,36,38,7
651,4,15,28,33,37,40,25
652,10,15,22,24,27,42,19
653,1,5,10,12,16,20,11
654,1,2,8,17,26,37,27
655,6,10,22,31,35,40,19
656,5,22,29,31,34,39,43
657,6,22,29,37,43,45,23
658,1,11,13,24,28,40,7
659,4,8,19,25,27,45,7
660,11,13,15,17,25,34,26
661,15,26,37,42,43,45,9
662,8,11,14,16,18,21,13
663,7,9,15,26,27,42,18
664,16,18,24,42,44,45,17
665,17,20,35,36,41,43,21
666,11,21,24,30,39,45,26
667,3,22,25,29,32,44,19
668,5,12,19,26,27,44,38
669,5,15,21,25,26,30,31
670,2,5,7,14,16,40,4
671,11,12,14,21,32,38,6
672,2,3,22,27,30,40,29
673,5,10,16,24,27,35,33
674,4,16,23,25,35,40,27
675,1,10,19,20,24,40,23
676,1,9,10,12,21,40,37
677,10,14,18,21,36,37,5
678,2,8,14,25,29,45,24
679,5,8,29,30,35,44,38
680,14,19,36,43,44,45,1
681,11,16,19,22,29,36,26
682,5,16,17,20,26,41,24
683,5,25,27,29,34,36,33
684,1,8,18,24,29,33,35
685,5,13,14,20,24,25,36
686,3,14,17,20,24,31,34
687,3,8,13,27,32,42,10
688,5,13,14,22,44,45,33
689,15,20,23,29,39,42,2
690,1,2,15,28,34,45,38
691,1,10,17,29,31,43,15
692,1,13,14,33,34,43,25
693,1,8,19,34,39,43,41
694,18,24,26,29,34,38,32
695,6,8,14,21,30,37,45
696,2,13,34,38,42,45,16
697,1,5,14,18,32,37,4
698,3,5,20,34,35,44,16
699,5,9,16,23,26,45,21
700,13,15,21,29,39,43,33
701,5,14,27,30,39,43,35
702,16,17,34,36,42,45,3
703,4,9,14,26,31,44,39
704,3,4,16,17,19,20,23
